left_feature,right_feature,discovery_source_spearman,validation_source_spearman,discovery_coordinate_spearman,validation_coordinate_spearman
v136_prompt.age_js_score,v136_prompt.cphi_score,0.47982742030445286,0.24400236944699447,0.1428456050127745,0.22102115140411344
v136_prompt.age_js_score,v136_temporal.middle_recent_margin,-0.05463877208623698,-0.10741754191129795,-0.2481397084216939,-0.2735435351977021
v136_prompt.age_js_score,v136_temporal.old_mass_excess,0.07770161696635997,0.05236582180178528,-0.11765353444215482,-0.11174391514425255
v136_prompt.age_js_score,v136_temporal.spectral_peak_ratio,-0.018337927292097878,0.09591286914076036,-0.026576825505468603,0.0010613703008702014
v136_prompt.age_js_score,v136_temporal.temporal_reach_ratio,-0.2620312747805207,-0.24982956735219605,-0.29523224441021345,-0.28184673550127454
v136_prompt.age_js_score,v138_cross.history_specificity,-0.27370094671451595,-0.2051740805823231,-0.055450393068763565,-0.10209358605095326
v136_prompt.age_js_score,v138_local.freeze_latest_relative_log,0.12261907045171491,0.09394985493108113,-0.05685114980171863,-0.03874458143016667
v136_prompt.age_js_score,v138_local.phase_shift_relative_log,0.04740221485493124,0.014651488460831148,-0.11049915528212695,-0.14684578316448968
v136_prompt.age_js_score,v138_local.reverse_relative_log,0.06696303929848613,0.03298902994038781,-0.11565682593720987,-0.1321293495925548
v136_prompt.age_js_score,v138_local.value_mismatch_relative_log,-0.16919821855206368,-0.3140679984846534,-0.2207648939768215,-0.26061302787903073
v136_prompt.age_js_score,v143_natural.current_mass,-0.17520321240774178,-0.19602858464321715,-0.20021731540534232,-0.20226459235498956
v136_prompt.age_js_score,v143_natural.history_mean_logit,-0.1452862002687363,-0.15231248966508226,-0.08314311704759346,-0.15169055984865087
v136_prompt.age_js_score,v143_natural.history_positive_rate,-0.031882046135375056,-0.01114636087122966,0.10384740184262574,0.06530989258075547
v136_prompt.age_js_score,v143_natural.last4_mass,-0.17166083073998395,-0.18960098349268772,-0.17121642597388062,-0.1802311352969293
v136_prompt.age_js_score,v143_natural.middle_mass,0.16482736946978974,0.16617423053920968,0.15514293907158322,0.15252661562545414
v136_prompt.age_js_score,v143_natural.oldest1_mass,0.24119360146561727,0.20270723429660414,0.1892566734164889,0.16924350898858959
v136_prompt.age_js_score,v143_natural.policy_need,0.08920243161148542,0.11166353753150036,0.14268595234515763,0.13482527902635363
v136_prompt.age_js_score,v143_natural.recent4_mass,0.03728493836732184,0.11949209053900696,0.19471333802510477,0.19402101164100874
v136_prompt.age_js_score,v143_natural.recent4_non_oldest_ratio,0.042991748310037145,0.123033223379511,0.19799121494933,0.19933685240606658
v136_prompt.cphi_score,v136_temporal.middle_recent_margin,0.13605113407395994,0.08273068344103937,0.11996686643925324,0.006403073538110561
v136_prompt.cphi_score,v136_temporal.old_mass_excess,0.1681527951695635,0.13203636877012304,0.10596804419396993,0.06019241501278233
v136_prompt.cphi_score,v136_temporal.spectral_peak_ratio,-0.20064695622375858,-0.23400315109919842,0.08751257268098324,0.0013077759105233344
v136_prompt.cphi_score,v136_temporal.temporal_reach_ratio,0.041390741046149385,0.04536486742897877,0.06264592556652057,0.006096995588750197
v136_prompt.cphi_score,v138_cross.history_specificity,-0.1989235316021711,-0.07637004928246198,0.04817782666694484,0.11877663474961872
v136_prompt.cphi_score,v138_local.freeze_latest_relative_log,0.15091996359967302,0.08515101411623352,0.038138984344646534,-0.009735336456546013
v136_prompt.cphi_score,v138_local.phase_shift_relative_log,-0.038664075213234075,-0.09527705007284541,0.03624078664189066,-0.016646653715611262
v136_prompt.cphi_score,v138_local.reverse_relative_log,-0.0015539243118156602,-0.04484427770670535,-0.0016749408455753669,-0.05381274743550521
v136_prompt.cphi_score,v138_local.value_mismatch_relative_log,0.26047323513493215,0.25649370737652577,0.11365330141070352,0.12364828970748423
v136_prompt.cphi_score,v143_natural.current_mass,-0.008921533218592268,-0.09677014252934,0.10625343053467025,-0.04292649270835714
v136_prompt.cphi_score,v143_natural.history_mean_logit,-0.09769648051877673,-0.0002897452184491172,-0.007469330797836096,0.09868994781239385
v136_prompt.cphi_score,v143_natural.history_positive_rate,-0.061248795657548316,0.05223950096462782,-0.06673001812354991,0.061614177681842575
v136_prompt.cphi_score,v143_natural.last4_mass,-0.04655962720937183,-0.11744461306337643,0.08875284281057216,-0.037399529545920844
v136_prompt.cphi_score,v143_natural.middle_mass,0.06856404155779026,0.12965411326920578,-0.07661799814227994,0.02397156201885421
v136_prompt.cphi_score,v143_natural.oldest1_mass,0.11600035753878463,0.12647001842613104,-0.03750832150304522,0.00144718302819112
v136_prompt.cphi_score,v143_natural.policy_need,0.016366425206512006,0.02368078796696187,0.014752314138267499,0.026213904508369884
v136_prompt.cphi_score,v143_natural.recent4_mass,-0.15448686014504798,-0.018854535134234306,-0.12134964979852636,0.047880879614393114
v136_prompt.cphi_score,v143_natural.recent4_non_oldest_ratio,-0.15673408038226175,-0.018111205109449392,-0.12177250828253894,0.04749321452799552
v136_temporal.middle_recent_margin,v136_temporal.old_mass_excess,0.8003822045951999,0.7966141714056435,0.7813311316702546,0.7738344174466366
v136_temporal.middle_recent_margin,v136_temporal.spectral_peak_ratio,0.24664799368307883,0.23103727652219536,0.27268651764288304,0.23601879644133053
v136_temporal.middle_recent_margin,v136_temporal.temporal_reach_ratio,0.5256316278160582,0.5107547126135232,0.6403261856444364,0.6296069671319481
v136_temporal.middle_recent_margin,v138_cross.history_specificity,-0.4606246961782112,-0.4906089810363763,-0.30302420028961125,-0.31581956650900084
v136_temporal.middle_recent_margin,v138_local.freeze_latest_relative_log,0.38455260714460243,0.42290089686906013,0.29602723272041703,0.31909917000388377
v136_temporal.middle_recent_margin,v138_local.phase_shift_relative_log,0.49345313878450703,0.49884567010547914,0.43930277239793514,0.4247820842239009
v136_temporal.middle_recent_margin,v138_local.reverse_relative_log,0.49776721528201084,0.501006437806876,0.45444563615459993,0.43791361558859765
v136_temporal.middle_recent_margin,v138_local.value_mismatch_relative_log,-0.11904104198334862,-0.10785397006664145,0.09738912594490183,0.11842426767696253
v136_temporal.middle_recent_margin,v143_natural.current_mass,0.3235938204999816,0.3221543132755762,0.3320260099777045,0.31744784920096275
v136_temporal.middle_recent_margin,v143_natural.history_mean_logit,-0.26312471546848354,-0.26693981692245566,-0.178805134813283,-0.17530407899237901
v136_temporal.middle_recent_margin,v143_natural.history_positive_rate,-0.3531771112546935,-0.3499961476938917,-0.3410608849744084,-0.32268122227806106
v136_temporal.middle_recent_margin,v143_natural.last4_mass,0.23394497035119502,0.2193478701471084,0.2323678207866619,0.20462681277214864
v136_temporal.middle_recent_margin,v143_natural.middle_mass,-0.17113302972155658,-0.1413677408369757,-0.164014382827028,-0.12366221961589209
v136_temporal.middle_recent_margin,v143_natural.oldest1_mass,0.22686857842745894,0.2623606140917959,0.1898183981031324,0.21736191603355093
v136_temporal.middle_recent_margin,v143_natural.policy_need,0.2936318953078341,0.2760170474566419,0.3566707047636684,0.34587381075471263
v136_temporal.middle_recent_margin,v143_natural.recent4_mass,-0.6722649630520913,-0.6699789787418794,-0.6245946148233383,-0.6105065111099108
v136_temporal.middle_recent_margin,v143_natural.recent4_non_oldest_ratio,-0.6620725796729031,-0.6581123278134043,-0.613783096893493,-0.5996184640361271
v136_temporal.old_mass_excess,v136_temporal.spectral_peak_ratio,0.2714071867838486,0.24377451472104977,0.249047189150122,0.1899904063045754
v136_temporal.old_mass_excess,v136_temporal.temporal_reach_ratio,0.34170839795574554,0.3215282010920866,0.5106227671509811,0.490379555397804
v136_temporal.old_mass_excess,v138_cross.history_specificity,-0.3822498630390666,-0.39563731201629637,-0.18974683446631532,-0.19510721533345163
v136_temporal.old_mass_excess,v138_local.freeze_latest_relative_log,0.5802624505847525,0.6225099473504168,0.5157472922887779,0.5423614379740584
v136_temporal.old_mass_excess,v138_local.phase_shift_relative_log,0.3265416142614269,0.3283296939019591,0.21932165114442753,0.21273080810808723
v136_temporal.old_mass_excess,v138_local.reverse_relative_log,0.36182969518797725,0.3677847308492606,0.2580019907561015,0.24827017698181827
v136_temporal.old_mass_excess,v138_local.value_mismatch_relative_log,-0.19273554065489185,-0.1906655658351273,0.05507269860621352,0.06155088645231315
v136_temporal.old_mass_excess,v143_natural.current_mass,0.11896419164432397,0.10147422785814993,0.10069767779814198,0.0751958397803194
v136_temporal.old_mass_excess,v143_natural.history_mean_logit,-0.2145194021558808,-0.20174306900516206,-0.13684622052124887,-0.11565932864708317
v136_temporal.old_mass_excess,v143_natural.history_positive_rate,-0.1620647659181005,-0.13982323767700583,-0.13589962268748082,-0.10421237793177024
v136_temporal.old_mass_excess,v143_natural.last4_mass,-0.038431517339624285,-0.07027449814402695,-0.04364141745453543,-0.08035148437436761
v136_temporal.old_mass_excess,v143_natural.middle_mass,0.12026817597206044,0.17061912583039038,0.12440193725774631,0.1707945277355535
v136_temporal.old_mass_excess,v143_natural.oldest1_mass,0.45869784455587453,0.5053491613906249,0.4302317244705442,0.45635208815295863
v136_temporal.old_mass_excess,v143_natural.policy_need,0.3265639909772966,0.3095049601720178,0.4170273947587044,0.3955066525719077
v136_temporal.old_mass_excess,v143_natural.recent4_mass,-0.5837810928766961,-0.55808636848701,-0.45948385905341815,-0.4259878548445589
v136_temporal.old_mass_excess,v143_natural.recent4_non_oldest_ratio,-0.5692948277941057,-0.5435323099968935,-0.44327220994255395,-0.409487318443139
v136_temporal.spectral_peak_ratio,v136_temporal.temporal_reach_ratio,0.18018657551369996,0.16505194227321712,0.3061543684750654,0.2822334020067027
v136_temporal.spectral_peak_ratio,v138_cross.history_specificity,-0.2920215433761063,-0.31631596951622565,-0.25359609256244264,-0.26078313361471406
v136_temporal.spectral_peak_ratio,v138_local.freeze_latest_relative_log,-0.0844399519543618,-0.030360316566228646,-0.10990182537416697,-0.08660714974652582
v136_temporal.spectral_peak_ratio,v138_local.phase_shift_relative_log,0.5898008472287595,0.5879502671059704,0.4871742837521894,0.49177179865070975
v136_temporal.spectral_peak_ratio,v138_local.reverse_relative_log,0.5611928589983975,0.54735658968562,0.477028372132501,0.47285652924276683
v136_temporal.spectral_peak_ratio,v138_local.value_mismatch_relative_log,-0.47797951115877946,-0.43402675432166393,-0.1329979397989182,-0.09751489852030751
v136_temporal.spectral_peak_ratio,v143_natural.current_mass,0.37927200151393964,0.3667717129837877,0.3915686581389109,0.38515944480255804
v136_temporal.spectral_peak_ratio,v143_natural.history_mean_logit,-0.33706098555287206,-0.3215047955616941,-0.3073727420736271,-0.28722752490374154
v136_temporal.spectral_peak_ratio,v143_natural.history_positive_rate,-0.40183631550433124,-0.3834795786454985,-0.368890430928987,-0.358987860362687
v136_temporal.spectral_peak_ratio,v143_natural.last4_mass,0.3685255619726372,0.35098694227940674,0.3659992703132089,0.35904359295142985
v136_temporal.spectral_peak_ratio,v143_natural.middle_mass,-0.40051355855543946,-0.3766908165887872,-0.37545094226550096,-0.36868134270583364
