left_feature,right_feature,discovery_source_spearman,validation_source_spearman,discovery_coordinate_spearman,validation_coordinate_spearman
v136_prompt.age_js_score,v136_prompt.cphi_score,0.47982742030445286,0.24400236944699447,0.1428456050127745,0.22102115140411344
v136_prompt.age_js_score,v136_temporal.middle_recent_margin,-0.05463877208623698,-0.10741754191129795,-0.2481397084216939,-0.2735435351977021
v136_prompt.age_js_score,v136_temporal.old_mass_excess,0.07770161696635997,0.05236582180178528,-0.11765353444215482,-0.11174391514425255
v136_prompt.age_js_score,v136_temporal.spectral_peak_ratio,-0.018337927292097878,0.09591286914076036,-0.026576825505468603,0.0010613703008702014
v136_prompt.age_js_score,v136_temporal.temporal_reach_ratio,-0.2620312747805207,-0.24982956735219605,-0.29523224441021345,-0.28184673550127454
v136_prompt.age_js_score,v138_cross.history_specificity,-0.27370094671451595,-0.2051740805823231,-0.055450393068763565,-0.10209358605095326
v136_prompt.age_js_score,v143_ab.policy_prompt_score,0.19104032285789418,0.0021935242421614936,0.05330072557240844,0.11537704738405284
v136_prompt.age_js_score,v143_ab.prompt_history_excess,-0.059513964998957,0.0055776658786514935,0.1713247528760925,0.1558412964362869
v136_prompt.age_js_score,v143_ab.stale_a_mass_B_visible,0.03636000271712472,-0.08614100909697976,-0.17569337268334315,-0.23032545735219914
v136_prompt.age_js_score,v143_natural.current_mass,-0.17520321240774178,-0.19602858464321715,-0.20021731540534232,-0.20226459235498956
v136_prompt.age_js_score,v143_natural.history_mean_logit,-0.1452862002687363,-0.15231248966508226,-0.08314311704759346,-0.15169055984865087
v136_prompt.age_js_score,v143_natural.history_positive_rate,-0.031882046135375056,-0.01114636087122966,0.10384740184262574,0.06530989258075547
v136_prompt.age_js_score,v143_natural.last4_mass,-0.17166083073998395,-0.18960098349268772,-0.17121642597388062,-0.1802311352969293
v136_prompt.age_js_score,v143_natural.middle_mass,0.16482736946978974,0.16617423053920968,0.15514293907158322,0.15252661562545414
v136_prompt.age_js_score,v143_natural.oldest1_mass,0.24119360146561727,0.20270723429660414,0.1892566734164889,0.16924350898858959
v136_prompt.age_js_score,v143_natural.policy_need,0.08920243161148542,0.11166353753150036,0.14268595234515763,0.13482527902635363
v136_prompt.age_js_score,v143_natural.recent4_mass,0.03728493836732184,0.11949209053900696,0.19471333802510477,0.19402101164100874
v136_prompt.age_js_score,v143_natural.recent4_non_oldest_ratio,0.042991748310037145,0.123033223379511,0.19799121494933,0.19933685240606658
v136_prompt.cphi_score,v136_temporal.middle_recent_margin,0.13605113407395994,0.08273068344103937,0.11996686643925324,0.006403073538110561
v136_prompt.cphi_score,v136_temporal.old_mass_excess,0.1681527951695635,0.13203636877012304,0.10596804419396993,0.06019241501278233
v136_prompt.cphi_score,v136_temporal.spectral_peak_ratio,-0.20064695622375858,-0.23400315109919842,0.08751257268098324,0.0013077759105233344
v136_prompt.cphi_score,v136_temporal.temporal_reach_ratio,0.041390741046149385,0.04536486742897877,0.06264592556652057,0.006096995588750197
v136_prompt.cphi_score,v138_cross.history_specificity,-0.1989235316021711,-0.07637004928246198,0.04817782666694484,0.11877663474961872
v136_prompt.cphi_score,v143_ab.policy_prompt_score,0.45020438898325504,0.4379730735180223,0.03274142599452085,0.034849801701567484
v136_prompt.cphi_score,v143_ab.prompt_history_excess,-0.011624488435313609,-0.06446171601771375,0.4218047768071985,0.2974949759852998
v136_prompt.cphi_score,v143_ab.stale_a_mass_B_visible,0.1435986562134814,0.05278828653441082,0.05462436841803178,0.030307632778974542
v136_prompt.cphi_score,v143_natural.current_mass,-0.008921533218592268,-0.09677014252934,0.10625343053467025,-0.04292649270835714
v136_prompt.cphi_score,v143_natural.history_mean_logit,-0.09769648051877673,-0.0002897452184491172,-0.007469330797836096,0.09868994781239385
v136_prompt.cphi_score,v143_natural.history_positive_rate,-0.061248795657548316,0.05223950096462782,-0.06673001812354991,0.061614177681842575
v136_prompt.cphi_score,v143_natural.last4_mass,-0.04655962720937183,-0.11744461306337643,0.08875284281057216,-0.037399529545920844
v136_prompt.cphi_score,v143_natural.middle_mass,0.06856404155779026,0.12965411326920578,-0.07661799814227994,0.02397156201885421
v136_prompt.cphi_score,v143_natural.oldest1_mass,0.11600035753878463,0.12647001842613104,-0.03750832150304522,0.00144718302819112
v136_prompt.cphi_score,v143_natural.policy_need,0.016366425206512006,0.02368078796696187,0.014752314138267499,0.026213904508369884
v136_prompt.cphi_score,v143_natural.recent4_mass,-0.15448686014504798,-0.018854535134234306,-0.12134964979852636,0.047880879614393114
v136_prompt.cphi_score,v143_natural.recent4_non_oldest_ratio,-0.15673408038226175,-0.018111205109449392,-0.12177250828253894,0.04749321452799552
v136_temporal.middle_recent_margin,v136_temporal.old_mass_excess,0.8003822045951999,0.7966141714056435,0.7813311316702546,0.7738344174466366
v136_temporal.middle_recent_margin,v136_temporal.spectral_peak_ratio,0.24664799368307883,0.23103727652219536,0.27268651764288304,0.23601879644133053
v136_temporal.middle_recent_margin,v136_temporal.temporal_reach_ratio,0.5256316278160582,0.5107547126135232,0.6403261856444364,0.6296069671319481
v136_temporal.middle_recent_margin,v138_cross.history_specificity,-0.4606246961782112,-0.4906089810363763,-0.30302420028961125,-0.31581956650900084
v136_temporal.middle_recent_margin,v143_ab.policy_prompt_score,-0.16275506520993335,-0.08995804655849712,-0.19295076765169072,-0.09914546381938309
v136_temporal.middle_recent_margin,v143_ab.prompt_history_excess,-0.14862656525053716,-0.10118332566205719,-0.06814349707041,-0.017718440955094148
v136_temporal.middle_recent_margin,v143_ab.stale_a_mass_B_visible,0.8169252849173219,0.7876382791019476,0.801114720535395,0.7546362240449385
v136_temporal.middle_recent_margin,v143_natural.current_mass,0.3235938204999816,0.3221543132755762,0.3320260099777045,0.31744784920096275
v136_temporal.middle_recent_margin,v143_natural.history_mean_logit,-0.26312471546848354,-0.26693981692245566,-0.178805134813283,-0.17530407899237901
v136_temporal.middle_recent_margin,v143_natural.history_positive_rate,-0.3531771112546935,-0.3499961476938917,-0.3410608849744084,-0.32268122227806106
v136_temporal.middle_recent_margin,v143_natural.last4_mass,0.23394497035119502,0.2193478701471084,0.2323678207866619,0.20462681277214864
v136_temporal.middle_recent_margin,v143_natural.middle_mass,-0.17113302972155658,-0.1413677408369757,-0.164014382827028,-0.12366221961589209
v136_temporal.middle_recent_margin,v143_natural.oldest1_mass,0.22686857842745894,0.2623606140917959,0.1898183981031324,0.21736191603355093
v136_temporal.middle_recent_margin,v143_natural.policy_need,0.2936318953078341,0.2760170474566419,0.3566707047636684,0.34587381075471263
v136_temporal.middle_recent_margin,v143_natural.recent4_mass,-0.6722649630520913,-0.6699789787418794,-0.6245946148233383,-0.6105065111099108
v136_temporal.middle_recent_margin,v143_natural.recent4_non_oldest_ratio,-0.6620725796729031,-0.6581123278134043,-0.613783096893493,-0.5996184640361271
v136_temporal.old_mass_excess,v136_temporal.spectral_peak_ratio,0.2714071867838486,0.24377451472104977,0.249047189150122,0.1899904063045754
v136_temporal.old_mass_excess,v136_temporal.temporal_reach_ratio,0.34170839795574554,0.3215282010920866,0.5106227671509811,0.490379555397804
v136_temporal.old_mass_excess,v138_cross.history_specificity,-0.3822498630390666,-0.39563731201629637,-0.18974683446631532,-0.19510721533345163
v136_temporal.old_mass_excess,v143_ab.policy_prompt_score,-0.11931852820704333,-0.02975221194684439,-0.15511336011009041,-0.07522032790965456
v136_temporal.old_mass_excess,v143_ab.prompt_history_excess,-0.13159757130658625,-0.12337127630289507,-0.014986245142421493,-0.0072386148981921925
v136_temporal.old_mass_excess,v143_ab.stale_a_mass_B_visible,0.9427163789844057,0.9237298641707626,0.9095432835129901,0.9047101700887609
v136_temporal.old_mass_excess,v143_natural.current_mass,0.11896419164432397,0.10147422785814993,0.10069767779814198,0.0751958397803194
v136_temporal.old_mass_excess,v143_natural.history_mean_logit,-0.2145194021558808,-0.20174306900516206,-0.13684622052124887,-0.11565932864708317
v136_temporal.old_mass_excess,v143_natural.history_positive_rate,-0.1620647659181005,-0.13982323767700583,-0.13589962268748082,-0.10421237793177024
v136_temporal.old_mass_excess,v143_natural.last4_mass,-0.038431517339624285,-0.07027449814402695,-0.04364141745453543,-0.08035148437436761
v136_temporal.old_mass_excess,v143_natural.middle_mass,0.12026817597206044,0.17061912583039038,0.12440193725774631,0.1707945277355535
v136_temporal.old_mass_excess,v143_natural.oldest1_mass,0.45869784455587453,0.5053491613906249,0.4302317244705442,0.45635208815295863
v136_temporal.old_mass_excess,v143_natural.policy_need,0.3265639909772966,0.3095049601720178,0.4170273947587044,0.3955066525719077
v136_temporal.old_mass_excess,v143_natural.recent4_mass,-0.5837810928766961,-0.55808636848701,-0.45948385905341815,-0.4259878548445589
v136_temporal.old_mass_excess,v143_natural.recent4_non_oldest_ratio,-0.5692948277941057,-0.5435323099968935,-0.44327220994255395,-0.409487318443139
v136_temporal.spectral_peak_ratio,v136_temporal.temporal_reach_ratio,0.18018657551369996,0.16505194227321712,0.3061543684750654,0.2822334020067027
v136_temporal.spectral_peak_ratio,v138_cross.history_specificity,-0.2920215433761063,-0.31631596951622565,-0.25359609256244264,-0.26078313361471406
v136_temporal.spectral_peak_ratio,v143_ab.policy_prompt_score,-0.4163514349195036,-0.3265832090833597,-0.2013095249611975,-0.024245103110572486
v136_temporal.spectral_peak_ratio,v143_ab.prompt_history_excess,-0.03366085817881577,0.047948139600744163,-0.025486004847285994,0.0023520418553998686
v136_temporal.spectral_peak_ratio,v143_ab.stale_a_mass_B_visible,0.2762788807526807,0.24599546807202727,0.2281856598687747,0.1774761636535261
v136_temporal.spectral_peak_ratio,v143_natural.current_mass,0.37927200151393964,0.3667717129837877,0.3915686581389109,0.38515944480255804
v136_temporal.spectral_peak_ratio,v143_natural.history_mean_logit,-0.33706098555287206,-0.3215047955616941,-0.3073727420736271,-0.28722752490374154
v136_temporal.spectral_peak_ratio,v143_natural.history_positive_rate,-0.40183631550433124,-0.3834795786454985,-0.368890430928987,-0.358987860362687
v136_temporal.spectral_peak_ratio,v143_natural.last4_mass,0.3685255619726372,0.35098694227940674,0.3659992703132089,0.35904359295142985
v136_temporal.spectral_peak_ratio,v143_natural.middle_mass,-0.40051355855543946,-0.3766908165887872,-0.37545094226550096,-0.36868134270583364
v136_temporal.spectral_peak_ratio,v143_natural.oldest1_mass,-0.033678637869798946,-0.0022997867074180606,-0.05865427802114195,-0.06369378669251445
v136_temporal.spectral_peak_ratio,v143_natural.policy_need,0.11596282893129319,0.11774653611010373,0.07237735887879794,0.04841729745857093
v136_temporal.spectral_peak_ratio,v143_natural.recent4_mass,-0.29897863112833517,-0.2837746391496528,-0.3015705629340251,-0.28407498000241765
v136_temporal.spectral_peak_ratio,v143_natural.recent4_non_oldest_ratio,-0.2954246995941156,-0.2798509041418625,-0.30176374231404524,-0.2843232546350129
v136_temporal.temporal_reach_ratio,v138_cross.history_specificity,-0.0942484124105896,-0.1011275807169294,-0.16145880755252742,-0.17794478866863683
